x,y
0.000717408,-0.039561193
0.00074120564,-0.03956792
0.0008267788,-0.03959214
0.0009128805,-0.039616507
0.0009995122,-0.03964102
0.0010867007,-0.0396657
0.0011744252,-0.039690536
0.0012359996,-0.039707966
0.0012627007,-0.03971552
0.0013515092,-0.03974067
0.0014408925,-0.03976598
0.0015308359,-0.03979145
0.0016213618,-0.039817084
0.0017124438,-0.03984289
0.0017606285,-0.03985654
0.0018041073,-0.039868854
0.0018963516,-0.039894987
0.0019891965,-0.039921295
0.0020826063,-0.039947763
0.0021766205,-0.039974406
0.002271235,-0.04000122
0.0022913073,-0.040006917
0.0023664678,-0.04002822
0.0024623042,-0.040055394
0.0025587557,-0.040082734
0.0026558265,-0.04011026
0.0027535325,-0.040137973
0.0028280662,-0.040159106
0.002851951,-0.04016588
0.0029511913,-0.04019403
0.0030512759,-0.04022242
0.003152161,-0.04025105
0.0032538837,-0.040279914
0.0033564223,-0.04030901
0.0033709416,-0.040313132
0.003459781,-0.04033834
0.0035639754,-0.040367924
0.0036689425,-0.04039772
0.0037747645,-0.040427763
0.003881385,-0.040458042
0.0039199768,-0.040469
0.0039888076,-0.04048855
0.004097039,-0.04051929
0.0042060963,-0.04055027
0.0043159504,-0.04058148
0.0044266316,-0.04061292
0.004475185,-0.040626723
0.0045381156,-0.040644605
0.0046504172,-0.040676527
0.004763531,-0.040708676
0.004877436,-0.040741052
0.0049921474,-0.04077367
0.0050366065,-0.040786315
0.0051076864,-0.040806524
0.0052240603,-0.04083962
0.005341221,-0.040872943
0.0054592052,-0.040906504
0.005578006,-0.040940307
0.005604287,-0.040947784
0.0056976327,-0.040974345
0.0058180955,-0.04100862
0.005848936,-0.04101741
0.005939368,-0.041043147
0.0060614515,-0.0410779
0.0061782235,-0.041111145
0.006182544,-0.041112375
0.006184399,-0.041112904
0.006308158,-0.041148145
0.0064327763,-0.041183632
0.0065175947,-0.04120779
0.006558194,-0.041219354
0.0066844877,-0.041255333
0.0067584617,-0.041276406
0.006811618,-0.041291554
0.0068540713,-0.04130365
0.0069395965,-0.041328017
0.0070684226,-0.041364737
0.00719201,-0.04139996
0.007198113,-0.0414017
0.0073286723,-0.04143892
0.007345045,-0.04144359
0.007460097,-0.041476395
0.007531401,-0.041496728
0.0075924024,-0.04151412
0.007725572,-0.041552108
0.00785963,-0.04159034
0.007872231,-0.04159394
0.007938003,-0.041612707
0.0079946,-0.041628852
0.008130441,-0.041667607
0.00821452,-0.041691605
0.008267204,-0.041706644
0.008404837,-0.041745923
0.008537377,-0.041783758
0.008543425,-0.04178549
0.008558258,-0.041789725
0.008682924,-0.041825317
0.008823344,-0.04186542
0.0089034755,-0.041888308
0.008964697,-0.04190579
0.009107014,-0.04194644
0.009143195,-0.04195678
0.009250144,-0.041987333
0.009250277,-0.04198738
0.009394481,-0.042028584
0.009539687,-0.04207008
0.009598307,-0.042086836
0.0096858395,-0.042111862
0.00975549,-0.04213177
0.009833002,-0.042153932
0.009947905,-0.04218679
0.009981141,-0.042196296
0.010130314,-0.04223895
0.010280457,-0.0422819
0.010299012,-0.042287212
0.010374259,-0.042308737
0.0104316585,-0.042325158
0.0105838785,-0.042368717
0.010651589,-0.042388093
0.010737164,-0.042412583
0.0107628405,-0.042419933
0.010891485,-0.042456757
0.010999618,-0.042487714
0.011005671,-0.042489447
0.011046888,-0.042501245
0.011203354,-0.04254605
0.01136093,-0.042591177
0.011361241,-0.042591266
0.011519604,-0.04263663
0.011631522,-0.042668693
0.0116793895,-0.042682406
0.011718274,-0.042693548
0.011840287,-0.04272851
0.012002353,-0.04277496
0.012076861,-0.042796317
0.012165558,-0.042821746
0.01227006,-0.0428517
0.012329942,-0.042868875
0.012331168,-0.042869225
0.012436933,-0.042899553
0.012495478,-0.042916343
0.012662238,-0.042964175
0.012798522,-0.04300327
0.012830188,-0.04301235
0.012915218,-0.04303675
0.01299938,-0.0430609
0.013161626,-0.04310746
0.013169804,-0.043109808
0.013341479,-0.043159086
0.013514423,-0.043208733
0.013526272,-0.04321214
0.013567092,-0.043223858
0.013688664,-0.04325877
0.01386421,-0.04330919
0.0138926245,-0.043317348
0.013933454,-0.043329082
0.014041052,-0.04335999
0.014219254,-0.04341119
0.014225814,-0.043413077
