A new study created in Journal with name: model-population-mpnn-population_mpnn_ic5_s5
Trial 0 finished with value: 0.0006215003086254001 and parameters: {'lr': 0.0006427803853084062, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.1397880251266832, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.037746712631577285}. Best is trial 1 with value: 0.00017997696704696864.
Trial 6 finished with value: 0.0005703743081539869 and parameters: {'lr': 0.013433444614221477, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 64, 'af_g_net': 'tanh', 'drop_p_g_net': 0.013084834066208162, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.004553929783965658}. Best is trial 1 with value: 0.00017997696704696864.
Trial 7 finished with value: 0.00011784596426878124 and parameters: {'lr': 0.003841262202980238, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.003416589565261353, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.10709758429266122}. Best is trial 7 with value: 0.00011784596426878124.
Trial 11 finished with value: 0.0007699152338318527 and parameters: {'lr': 0.009037496675305658, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 16, 'af_g_net': 'softplus', 'drop_p_g_net': 0.004562646678893955, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.002905477866736683}. Best is trial 7 with value: 0.00011784596426878124.
Trial 13 finished with value: 0.00042341777589172125 and parameters: {'lr': 0.0026209050226500045, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0005135993790184343, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.48426340580115523}. Best is trial 7 with value: 0.00011784596426878124.
Trial 15 finished with value: 0.00047787014045752585 and parameters: {'lr': 0.0033220107242867844, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.0016129966740842533, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 8, 'af_h_net': 'softplus', 'drop_p_h_net': 0.125796148135508}. Best is trial 7 with value: 0.00011784596426878124.
Trial 17 finished with value: 0.000225867610424757 and parameters: {'lr': 0.005964129357564741, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.00012085641708131162, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.09802418565426146}. Best is trial 7 with value: 0.00011784596426878124.
Trial 20 finished with value: 0.00012510910164564848 and parameters: {'lr': 0.0012604642911355044, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.02555378954822803, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.025307917219321584}. Best is trial 7 with value: 0.00011784596426878124.
Trial 25 finished with value: 0.0002120037970598787 and parameters: {'lr': 0.0005216360334623068, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.003616443019090801, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.0036025118049614014}. Best is trial 7 with value: 0.00011784596426878124.
Trial 27 finished with value: 0.0005754099693149328 and parameters: {'lr': 0.0007208576684764091, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.001079767492999652, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.22422806612677007}. Best is trial 7 with value: 0.00011784596426878124.
