,symbolic_function
0,0.43837633728981 - 1.2439923286438*sin(0.430479854345322*x0 + 6.58616018295288)
1,2.01565540192157*(1 - 0.126609156049271*x0)**2 - 1.94843542575836
2,1.10168218612671*cos(0.482079863548279*x0 - 4.43847990036011) + 0.365222632884979
3,2.71164224407877*(1 - 0.0627376206474727*x0)**3 - 2.64441919326782
4,-3.91988301277161 + 3.98709573543195*exp(-0.128000050783157*x0)
