,symbolic_function
0,1.06472142434537*exp(0.188719913363457*x0) - 1.05064511299133
1,-0.698932009244853*(-0.0958219066791848*x0 - 1)**3 - 0.684859752655029
2,0.517678258587003*(-0.19405778123173*x0 - 1)**2 - 0.503610253334045
3,0.549610674381256*tan(0.343879908323288*x0 + 0.24231992661953) - 0.121716633439064
4,0.277263462543488 - 0.570249021053314*sin(0.397599905729294*x0 - 3.62140011787415)
