,symbolic_function
0,1.31653738021851 - 6.43730449676514*tan(0.276639938354492*x0 + 6.29423999786377)
1,18.2915058135986*log(8.0 - 0.759999871253967*x0) - 36.7974395751953
2,18.7622051239014 - 17.523296818906*exp(0.0991198495030403*x0)
3,11.3988297022805*(-0.0507714637320911*x0 - 1)**3 + 12.6377563476563
4,9.26630592346191 - 8.02866915094759*(-0.107823024864828*x0 - 1)**2
