,symbolic_function
0,3.33730483055115*tan(0.199200004339218*x0 + 5.79415988922119) + 1.44723176956177
1,4.9936056137085*log(1.57711982727051*x0 + 9.34303951263428) - 11.4859762191772
2,5.19190788269043 - 5.51829755745745*exp(-0.152000039815903*x0)
3,3.4867525100708 - 3.81312365056233*(1 - 0.0732501298845323*x0)**3
4,2.64105868339539 - 2.96735269404821*(1 - 0.141022796599509*x0)**2
