,symbolic_function
0,-1.47002124786377*tan(0.354319840669632*x0 + 9.22735977172852) - 0.262360781431198
1,20.4751464379956*(-0.00843123717983509*x0 - 1)**3 + 20.5029621124268
2,14.9372253417969 - 14.9094542315751*(-0.0173626544279535*x0 - 1)**2
3,32.4144554138184 - 32.3865482768485*exp(0.0159998517483473*x0)
4,-4.57914924621582*cos(0.115760058164597*x0 - 1.80175983905792) - 1.02082777023315
