,symbolic_function
0,0.116463504731655*tan(0.927279889583588*x0 - 3.59024000167847) + 0.0350995510816574
1,0.141311839222908*log(0.199919924139977*x0 + 0.19799992442131) + 0.210934236645699
2,0.0176910310983658 - 0.0413741445700115*exp(-2.34663987159729*x0)
3,17.3510971069336*tanh(1.1800799369812*x0 + 3.36800003051758) - 17.3335971832275
4,-0.109063398208997*(0.497091966079514 - x0)**3 - 0.00969430059194565
