,symbolic_function
0,0.0623614117503166 - 0.256069839000702*tan(0.7079998254776*x0 + 6.28031969070435)
1,0.371579557657242*log(3.38295984268188 - 1.48207986354828*x0) - 0.392255812883377
2,0.337420910596848 - 0.27746306753142*exp(0.568479835987091*x0)
3,-2.15779304504395*tanh(0.335999846458435*x0 - 1.39931988716125) - 1.85021257400513
4,0.156863637400529*(-0.329257003533252*x0 - 1)**3 + 0.216509431600571
