,symbolic_function
0,1.79439926147461 - 1.81022571736879*(1 - 0.13037904597611*x0)**2
1,2.40319561958313 - 2.41902673756096*(1 - 0.0650350719229063*x0)**3
2,3.68153524398804 - 3.69736297290907*exp(-0.127680048346519*x0)
3,1.89932346343994*tan(0.238639980554581*x0 - 3.34807991981506) + 0.382052958011627
4,1.88455009460449*cos(0.282399863004684*x0 - 1.08823978900909) - 0.890354096889496
