,symbolic_function
0,-3.58059978485107*tan(0.348879843950272*x0 - 0.38919985294342) - 1.22145795822144
1,10.8793210983276 - 8.67352867126465*log(0.558639824390411*x0 + 3.40871977806091)
2,-9.08726215362549 + 9.32955553851023*exp(-0.152000024914742*x0)
3,6.52658152946409*(1 - 0.0722683631502765*x0)**3 - 6.28474998474121
4,5.0503988964022*(1 - 0.139966407141779*x0)**2 - 4.80867958068848
