,symbolic_function
0,-0.175739273428917*tan(0.799099981784821*x0 + 3.01799988746643) - 0.0391765497624874
1,-0.791146755218506 + 0.77380821891206*exp(-0.185439929366112*x0)
2,0.534611774907755*(1 - 0.0894752373306861*x0)**3 - 0.551943242549896
3,0.390065871849102*(1 - 0.183966188386703*x0)**2 - 0.407403081655502
4,0.169400617480278 - 0.433682203292847*sin(0.366879940032959*x0 + 0.445119947195053)
