,symbolic_function
0,0.958924233913422*tanh(0.596239864826202*x0 - 0.447839856147766) + 0.348262816667557
1,0.691199362277985*cos(0.826959908008575*x0 - 2.19159984588623) + 0.3480404317379
2,0.339640378952026 - 0.669832348823547*sin(0.852879881858826*x0 + 8.79712009429932)
3,1.43054628366339*(-0.177523939543081*x0 - 1)**2 - 1.48989808559418
4,-2.04360289165251*(-0.0831266402185063*x0 - 1)**3 - 2.10323119163513
