,symbolic_function
0,2.36459350585938*tan(0.311599940061569*x0 - 0.3574398458004) + 0.856687068939209
1,6.10060977935791*log(0.429679870605469*x0 + 3.18919968605042) - 7.09970283508301
2,6.5099515914917 - 6.53412618952727*exp(-0.125520050525665*x0)
3,4.53127479553223 - 4.55522160510974*(1 - 0.0599091818787745*x0)**3
4,3.47504663467407 - 3.49897169645392*(1 - 0.116938805776245*x0)**2
