,symbolic_function
0,0.0106481434777379*tan(3.55959987640381*x0 - 6.41232013702393) - 0.0103205144405365
1,0.0189935434609652*log(9.59239959716797*x0 + 4.71343946456909) - 0.0411100462079048
2,0.0063548069447279 - 0.018012024404625*exp(-2.15599989891052*x0)
3,0.000111245550215244 - 0.0157850823069174*(0.906702065514626 - x0)**3
4,-0.0435187055348072*(0.448722809639558 - x0)**2 - 0.00289111118763685
