,symbolic_function
0,-0.00284486613876752*(-0.300004806595565*x0 - 1)**3 - 0.0028574236202985
1,0.00507436711208778*exp(0.514639914035797*x0) - 0.00509358756244183
2,0.00179036118159797*(-0.701830157653062*x0 - 1)**2 - 0.00179790426045656
3,0.00344954454340041*tan(0.0734800174832344*x0 + 4.39776039123535) - 0.0106226010248065
4,0.00803037453442812 - 0.00646741269156337*log(3.47435998916626 - 1.43247997760773*x0)
