,symbolic_function
0,3.8912832736969*cos(0.545439898967743*x0 - 2.6723198890686) + 3.46784043312073
1,2.95970487594604 - 3.35718417167664*sin(0.601519882678986*x0 - 4.22200012207031)
2,3.22552227973938*tanh(0.598379909992218*x0 - 0.85999995470047) + 2.23972296714783
3,0.603836770059823*(-0.83334602040285*x0 - 1)**2 - 0.612156927585602
4,-1.00688268097235*(-0.34280891739528*x0 - 1)**3 - 1.01859188079834
