,symbolic_function
0,0.0731066723602441*(-0.88053519438584*x0 - 1)**2 - 0.0811363235116005
1,2.09160923957825 - 2.17276191711426*sin(0.229039922356606*x0 + 1.83075988292694)
2,2.1092221736908*cos(0.232519939541817*x0 - 2.87771987915039) + 2.02807068824768
3,-0.0775036307614436*(-0.713715659651882*x0 - 1)**3 - 0.080013632774353
4,0.0529326871037483*tanh(2.17711997032166*x0 + 0.386199921369553) - 0.0277957059442997
