,symbolic_function
0,0.000177393390913494*tan(0.100439928472042*x0 + 4.7039999961853) + 0.0931671783328056
1,0.164200574159622 - 0.0498866273455038*exp(-5.0*x0)
2,0.197585582733154 - 0.0832822439964553*(0.999958038162003 - x0)**3
3,0.00486508151516318*log(5.0*x0 + 0.0999999269843102) + 0.125518187880516
4,0.239291787147522 - 0.124978029634804*(1 - x0)**2
