,symbolic_function
0,0.000835769809782505 - 0.00126001460012048*Abs(4.85519981384277*x0 - 2.53051996231079)
1,0.00157824659254402*sin(5.0*x0 - 0.999999940395355) - 0.00110610143747181
2,0.00158248678781092*cos(5.0*x0 + 3.70000004768372) - 0.00111217598896474
3,0.000303782901028171 - 0.0124031842320311*(0.509424367518866 - x0)**2
4,-0.00150237639900297*tanh(5.0*x0 - 4.40000009536743) - 0.0014150373172015
