,symbolic_function
0,0.730950355529785*tanh(1.1165999174118*x0 - 0.705479919910431) - 0.264491856098175
1,0.535942077636719*cos(1.52103996276855*x0 - 2.52695989608765) - 0.266978919506073
2,-0.541173756122589*sin(1.50539994239807*x0 + 2.19260001182556) - 0.265577971935272
3,1.75547803941618*(-0.199684104099698*x0 - 1)**2 - 2.49244928359985
4,-2.53898085017486*(-0.092474910869373*x0 - 1)**3 - 3.27655029296875
