,symbolic_function
0,0.228253588080406 - 0.579161047935486*tan(0.997039973735809*x0 + 3.15864014625549)
1,1.60281705856323 - 0.968690514564514*log(2.28187990188599*x0 + 4.16139984130859)
2,-0.563116431236267 + 0.785185770408469*exp(-0.665999948978424*x0)
3,7.0682110786438 - 7.56736421585083*tanh(0.379439920186996*x0 + 1.4974000453949)
4,0.466321344343471*(1 - 0.370540791018688*x0)**3 - 0.244020611047745
