,symbolic_function,complexity,log_loss,alpha,score
0,-0.131483613225529*sin(3.05358784454974*x0 - 0.610660992154561) - 0.0685915265695301,6,-10.598339147927879,tensor(1.0000e-05),1.149695025636862
1,-0.253459857672749*x0 - 0.00515890028748136,3,-7.1492540710172925,tensor(0.0003),0.4513887489551814
2,-0.0217884497130872,0,-5.795087824151748,tensor(0.0100),0.0
