,symbolic_function
0,-2.2470850944519*cos(0.315639913082123*x0 + 4.10591983795166) - 0.287341117858887
1,2.69931888580322*sin(0.271079927682877*x0 + 2.49656009674072) - 0.629228591918945
2,-3.05576062202454*tanh(0.233559921383858*x0 - 0.452759891748428) - 0.302396178245544
3,2.86805295944214 - 1.87341667991808*(-0.157849851279246*x0 - 1)**2
4,2.55935455159426*(-0.0770362957214157*x0 - 1)**3 + 3.55391359329224
