2025-05-25 12:26:17,339 - INFO - A new study created in Journal with name: model-biochemical-mpnn-biochemical_mpnn_ic20_s5_pd_seed
2025-05-25 14:27:28,461 - INFO - Trial 12 finished with value: 0.006031757686287165 and parameters: {'lr': 0.0049216531814301944, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 32, 'af_g_net': 'tanh', 'drop_p_g_net': 0.00047186902123128, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'relu', 'drop_p_h_net': 0.02938471606917192}. Best is trial 9 with value: 0.0032424796372652054.
2025-05-25 14:37:17,259 - INFO - Trial 13 finished with value: 0.0026534779462963343 and parameters: {'lr': 0.0005171872240720877, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.005090057180402598, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.0034585010907807155}. Best is trial 13 with value: 0.0026534779462963343.
2025-05-25 14:47:16,769 - INFO - Trial 14 finished with value: 0.004094787873327732 and parameters: {'lr': 0.0005893592672318112, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.006156502684497184, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.0029715756438411017}. Best is trial 13 with value: 0.0026534779462963343.
2025-05-25 14:57:19,081 - INFO - Trial 15 finished with value: 0.002002665540203452 and parameters: {'lr': 0.0006204132110165453, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.005771714167533627, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.0004051996863088707}. Best is trial 15 with value: 0.002002665540203452.
2025-05-25 15:07:19,228 - INFO - Trial 16 finished with value: 0.0035168202593922615 and parameters: {'lr': 0.0005020325078274392, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.00657461579279235, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.00040442361477060823}. Best is trial 15 with value: 0.002002665540203452.
2025-05-25 15:19:00,417 - INFO - Trial 17 finished with value: 0.004431459587067366 and parameters: {'lr': 0.0008149727518306745, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.027716988179946504, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.0003682593376623885}. Best is trial 15 with value: 0.002002665540203452.
2025-05-25 15:29:14,512 - INFO - Trial 18 finished with value: 0.0035562796983867884 and parameters: {'lr': 0.0014418627486523286, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.003291493776890992, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.007540152678580617}. Best is trial 15 with value: 0.002002665540203452.
2025-05-25 15:39:04,912 - INFO - Trial 19 finished with value: 0.00278637302108109 and parameters: {'lr': 0.0007408678386006175, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.013132714900079275, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.002578001839890245}. Best is trial 15 with value: 0.002002665540203452.
2025-05-25 15:45:39,186 - INFO - Trial 20 finished with value: 0.017143506556749344 and parameters: {'lr': 0.001196814225513436, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.049982520969856184, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.0001869849944366413}. Best is trial 15 with value: 0.002002665540203452.
2025-05-25 15:55:27,562 - INFO - Trial 21 finished with value: 0.0023965926375240088 and parameters: {'lr': 0.0007381641108978209, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.013122846159988322, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.0021310593415130303}. Best is trial 15 with value: 0.002002665540203452.
2025-05-25 16:05:23,180 - INFO - Trial 22 finished with value: 0.003053280059248209 and parameters: {'lr': 0.0005439943643265962, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.009376169218417238, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.014578902109978012}. Best is trial 15 with value: 0.002002665540203452.
2025-05-25 16:14:57,358 - INFO - Trial 23 finished with value: 0.010470780543982983 and parameters: {'lr': 0.0009437604093222771, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.4187598149940803, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.0030905412029370795}. Best is trial 15 with value: 0.002002665540203452.
2025-05-25 16:24:44,980 - INFO - Trial 24 finished with value: 0.0016930048586800694 and parameters: {'lr': 0.0018807914813120093, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.003970095566283347, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.0007827808168204789}. Best is trial 24 with value: 0.0016930048586800694.
2025-05-25 16:34:24,983 - INFO - Trial 25 finished with value: 0.019186144694685936 and parameters: {'lr': 0.0019155912937031836, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.018738576158821095, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0007868390582634197}. Best is trial 24 with value: 0.0016930048586800694.
2025-05-25 16:40:34,768 - INFO - Trial 26 finished with value: 0.0032841323409229517 and parameters: {'lr': 0.003960104313167076, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.0617500375352588, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.00025383567051686897}. Best is trial 24 with value: 0.0016930048586800694.
2025-05-25 16:43:38,782 - INFO - Trial 27 finished with value: 0.003932107239961624 and parameters: {'lr': 0.0019531297081194364, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.004041793735231548, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.0015045058003247424}. Best is trial 24 with value: 0.0016930048586800694.
2025-05-25 16:51:16,819 - INFO - Trial 28 finished with value: 0.003423307090997696 and parameters: {'lr': 0.001178597926176418, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0004322702573173517, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.0006285838686075925}. Best is trial 24 with value: 0.0016930048586800694.
2025-05-25 16:56:41,702 - INFO - Trial 29 finished with value: 0.0030272325966507196 and parameters: {'lr': 0.006078662726350262, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.014731505885943285, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 8, 'af_h_net': 'relu', 'drop_p_h_net': 0.00031532127638710545}. Best is trial 24 with value: 0.0016930048586800694.
