,symbolic_function
0,0.170595705509186*sin(1.47179996967316*x0 - 0.663999915122986) - 0.0084478035569191
1,0.170146256685257*cos(1.4760400056839*x0 + 4.04591989517212) - 0.00836142897605896
2,0.229725807905197*tanh(1.09511995315552*x0 - 0.49539989233017) - 0.00815612822771072
3,0.402809917926788 - 0.529262441340489*(1 - 0.266095133336994*x0)**2
4,0.795432806015015 - 0.922119884787434*exp(-0.308319926261902*x0)
