,symbolic_function
0,0.00179800529827507*exp(0.0999999269843102*x0) - 0.00186292733997107
1,0.000191356666618958*x0 - 6.82637473801151e-5
2,0.000346800462160002*(-0.240001908317594*x0 - 1)**2 - 0.000407923886086792
3,-0.000987916062050792*(-0.0600002248296206*x0 - 1)**3 - 0.00105228426400572
4,6.97662908351049e-5*sin(3.25984001159668*x0 + 4.33367967605591) + 4.4071399315726e-5
