,complexity,loss,score,sympy_format
4,6,0.0001851844,5.548508105965256,sin(-x0 + x1)*0.49838006
3,5,0.047565367,0.8036459415113522,tanh(sin(-x0 + x1))
2,4,0.10624533,0.0196652498848925,sin(x1)*0.07873315
1,3,0.10835535,0.003589811708797351,-0.043577015/x0
0,1,0.1091361,0.0,-0.000883758360000000
