,symbolic_function
0,0.296238936768551*exp(1.12807989120483*x0) - 0.295380860567093
1,-0.192619678158319*(-0.578138985498321*x0 - 1)**3 - 0.191761493682861
2,0.195087683218685*(-x0 - 0.856519924071434)**2 - 0.142265111207962
3,0.146124556660652*tan(2.23143982887268*x0 + 9.58847999572754) - 0.0232729092240334
4,0.0634788125753403 - 0.135412842035294*cos(2.77999997138977*x0 - 5.19320011138916)
