,symbolic_function
0,-0.914989650249481*tanh(0.610959827899933*x0 - 1.03175985813141) - 0.711170017719269
1,0.161344727125442*(-0.464873929732815*x0 - 1)**3 + 0.158961370587349
2,0.251437246799469 - 0.254101058491182*exp(0.874079883098602*x0)
3,0.121489889919758 - 0.12365969156044*(-0.929441200000218*x0 - 1)**2
4,9.24694061279297*sin(0.153120025992393*x0 + 1.73407995700836) - 9.12610340118408
