,symbolic_function
0,0.0532220862805843*tan(1.19999980926514*x0 + 9.99993991851807) - 0.0330813117325306
1,0.10575906932354 - 0.0589164234697819*log(5.87527990341187 - 9.12856006622314*x0)
2,0.0617994991449494*exp(1.4948798418045*x0) - 0.0603479444980621
3,-0.0432110080930218*(-0.714626144530662*x0 - 1)**3 - 0.0417494475841522
4,0.179390892386436*tanh(1.03359985351563*x0 - 0.881199836730957) + 0.128292873501778
