Using an existing study with name 'model-epidemics-mpnn-epidemics_mpnn_ic5_s5' instead of creating a new one.
Trial 1 finished with value: 0.0004316309350542724 and parameters: {'lr': 0.011002267501981754, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.01593751813900692, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.015791427346303344}. Best is trial 1 with value: 0.0004316309350542724.
Trial 5 finished with value: 0.0014051551697775722 and parameters: {'lr': 0.0022554137977964955, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.32604219906498155, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'relu', 'drop_p_h_net': 0.19252164561288446}. Best is trial 1 with value: 0.0004316309350542724.
Trial 7 finished with value: 0.0008636454585939646 and parameters: {'lr': 0.04166695499407746, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.000864552449556232, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.007556790928368174}. Best is trial 3 with value: 8.731044363230467e-05.
Trial 10 finished with value: 0.00012435298413038254 and parameters: {'lr': 0.0022331039636617387, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.0019216757110967955, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'relu', 'drop_p_h_net': 0.0006042908199609311}. Best is trial 3 with value: 8.731044363230467e-05.
Trial 13 finished with value: 0.00010117652709595859 and parameters: {'lr': 0.0005212859011670804, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.00012127902979326866, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 64, 'af_h_net': 'relu', 'drop_p_h_net': 0.00018526626714619797}. Best is trial 3 with value: 8.731044363230467e-05.
Trial 16 finished with value: 0.00021297656348906457 and parameters: {'lr': 0.015846815363659974, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.00013002976547214074, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 64, 'af_h_net': 'relu', 'drop_p_h_net': 0.00012893695853082767}. Best is trial 3 with value: 8.731044363230467e-05.
Trial 18 finished with value: 0.00014075891522224993 and parameters: {'lr': 0.020619448958024776, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0002949035454953934, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.04612290057272221}. Best is trial 15 with value: 6.612360448343679e-05.
Trial 20 finished with value: 7.526195258833468e-05 and parameters: {'lr': 0.0033541659453164216, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.0005137292232263906, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0018016727241952522}. Best is trial 15 with value: 6.612360448343679e-05.
Trial 24 finished with value: 9.479865548200905e-05 and parameters: {'lr': 0.001204356086455146, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'relu', 'drop_p_g_net': 0.0007736455332161852, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0012445484411342288}. Best is trial 15 with value: 6.612360448343679e-05.
Trial 27 finished with value: 7.703027222305536e-05 and parameters: {'lr': 0.0011399992431676258, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0005468642211440295, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00023375720074179747}. Best is trial 15 with value: 6.612360448343679e-05.
