,symbolic_function
0,0.289159923791885 - 0.963032218989795*x0
1,1201.80688476563 - 1201.51993112127*(-0.000400134644970234*x0 - 1)**2
2,-3012.220703125 + 3012.51168159424*exp(-0.000320074264891446*x0)
3,-559.578369140625*sin(0.00180007319431752*x0 - 0.30447992682457) - 167.473785400391
4,-561.550903320313*cos(0.00184007314965129*x0 + 4.33436012268066) - 206.977096557617
