,symbolic_function
0,0.373362213373184*sin(1.68847990036011*x0 - 0.0801599323749542) + 0.031354758888483
1,0.0316705219447613 - 0.373332381248474*cos(1.68856000900269*x0 - 4.7934398651123)
2,0.449624389410019*tanh(1.42795991897583*x0 - 0.0780399292707443) + 0.0359702110290527
3,0.551398762828363*x0 + 0.00410880316260176
4,0.428241789340973 - 0.114153236150742*Abs(4.92659997940063*x0 - 3.71507978439331)
