,symbolic_function
0,2.02406668663025*sin(0.287079930305481*x0 + 0.30227991938591) - 0.609480142593384
1,1.90309977531433*cos(0.303999930620193*x0 + 4.99870014190674) - 0.544390559196472
2,2.99865126609802 - 3.00550743858133*(1 - 0.0919268065861756*x0)**2
3,6.07599544525146 - 6.08285822372728*exp(-0.0908000096678734*x0)
4,6.15622234344482*log(0.190399929881096*x0 + 2.12311983108521) - 4.64180612564087
