,symbolic_function
0,-0.2816561460495*tan(1.68515992164612*x0 - 0.00388000067323446) - 0.00532616721466184
1,-0.520558875828353*x0 - 0.00378860008928505
2,-11.3061561584473 + 11.3022395928121*exp(-0.0460800379514694*x0)
3,6.16572851129777*(1 - 0.0422336298565582*x0)**2 - 6.1696343421936
4,13.6204624176025 - 8.70020866394043*log(0.286599934101105*x0 + 4.78739976882935)
