,complexity,loss,score,sympy_format
2,5,2.1887263e-07,5.3270251595464835,0.9987079 + x0*(-0.49701315)
1,4,4.5049408e-05,1.8394183737304537,log(2.6255338 - x0)
3,7,2.1886373e-07,2.0331872822361962e-05,x0*(-0.49701232 + 0.99870735/x0)
0,1,0.011226305,0.0,0.713756260000000
