,symbolic_function
0,1.89580380916595*cos(0.571039915084839*x0 - 2.66987991333008) + 1.99685144424438
1,2.03282260894775*sin(0.545679926872253*x0 - 1.10943984985352) + 2.12821888923645
2,1.71950089931488*tanh(0.5832799077034*x0 - 0.852479994297028) + 1.49366354942322
3,0.350886475921926*(-0.76685574216379*x0 - 1)**2 - 0.0523485541343689
4,-0.603748855944999*(-0.308596836932407*x0 - 1)**3 - 0.309311330318451
