,symbolic_function,complexity,log_loss,alpha,score
0,-0.185741316385606*tanh(2.01902098495013*x0 - 3.86618141395962) - 0.18694366186695,6,-15.423122256069474,1e-08,1.1188277326698923
1,-0.00220017165275666,0,-8.71015586005012,0.001,0.0
