x,y
-0.4759666,0.35874993
-0.47403806,0.35630518
-0.472113,0.35386598
-0.47111538,0.35260257
-0.47019172,0.35143352
-0.46893594,0.349845
-0.4682744,0.34900883
-0.46676007,0.34709644
-0.4663613,0.34659323
-0.46524978,0.3451919
-0.46458805,0.34435833
-0.46445256,0.34418774
-0.4638002,0.3433668
-0.46254855,0.34179366
-0.4624202,0.34163246
-0.462356,0.34155196
-0.46091717,0.33974743
-0.4606494,0.33941203
-0.46025687,0.3389206
-0.45948386,0.33795384
-0.45875528,0.33704373
-0.45809817,0.336224
-0.45805588,0.3361713
-0.45686638,0.33469
-0.45663336,0.33440018
-0.4559446,0.33354446
-0.4552163,0.33264095
-0.45498303,0.33235186
-0.45380467,0.33089375
-0.45379636,0.3308835
-0.45341352,0.33041063
-0.45310533,0.33003026
-0.4523985,0.32915884
-0.4516537,0.32824206
-0.4512335,0.32772553
-0.45099774,0.3274359
-0.44960254,0.32572523
-0.4495168,0.3256203
-0.44936773,0.32543787
-0.44821268,0.32402638
-0.44750816,0.32316726
-0.44738606,0.32301855
-0.44682822,0.32233942
-0.44565496,0.3209139
-0.44544905,0.32066408
-0.44526166,0.32043684
-0.4449428,0.32005045
-0.44407493,0.31900004
-0.44380838,0.31867787
-0.4431436,0.31787515
-0.4427057,0.31734705
-0.4419685,0.31645918
-0.44134146,0.31570515
-0.4410321,0.31533355
-0.44013533,0.31425774
-0.4399821,0.3140741
-0.43984967,0.31391552
-0.43892705,0.31281173
-0.43862775,0.3124541
-0.43830886,0.31207338
-0.43809777,0.31182152
-0.43727833,0.3108449
-0.43682858,0.3103097
-0.43654457,0.30997196
-0.43654382,0.3099711
-0.4364893,0.3099063
-0.4359339,0.30924654
-0.43582952,0.3091227
-0.43473673,0.30782738
-0.43469122,0.30777353
-0.43467668,0.3077563
-0.43459436,0.3076589
-0.4332598,0.30608186
-0.43325675,0.3060783
-0.43287098,0.30562338
-0.4326516,0.30536482
-0.43193018,0.30451554
-0.43129703,0.3037713
-0.4310723,0.30350736
-0.43060544,0.3029596
-0.43057328,0.30292186
-0.4299865,0.30223426
-0.42928568,0.3014142
-0.42928064,0.30140832
-0.42850175,0.30049843
-0.42822415,0.30017453
-0.42797077,0.29987913
-0.42791566,0.29981488
-0.4274961,0.29932612
-0.42728835,0.29908425
-0.42673415,0.29843965
-0.42666078,0.29835436
-0.4264372,0.29809457
-0.42571867,0.29726064
-0.4253557,0.2968399
-0.42454743,0.29590422
-0.42437968,0.2957102
-0.42405546,0.29533556
-0.42394847,0.29521194
-0.4234998,0.294694
-0.42276007,0.29384124
-0.42232922,0.2933452
-0.42218548,0.29317987
-0.4214695,0.29235694
-0.42119277,0.29203928
-0.42042977,0.29116434
-0.42028588,0.29099953
-0.42028373,0.2909971
-0.42018375,0.2908826
-0.41999078,0.2906617
-0.4189028,0.2894181
-0.418813,0.28931558
-0.41868138,0.28916538
-0.4182497,0.28867304
-0.41785192,0.28821984
-0.41762662,0.28796336
-0.4170862,0.2873486
-0.41694036,0.2871828
