A new study created in Journal with name: model-epidemics-mpnn-epidemics_mpnn_ic3_s5
Trial 0 finished with value: 0.00018876808462664485 and parameters: {'lr': 0.03439082345804811, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.0001603132096553117, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 64, 'af_h_net': 'relu', 'drop_p_h_net': 0.002225840018661238}. Best is trial 0 with value: 0.00018876808462664485.
Trial 4 finished with value: 0.0007298670243471861 and parameters: {'lr': 0.001730117733377192, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'softplus', 'drop_p_g_net': 0.020100040136503256, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.08941673635281044}. Best is trial 0 with value: 0.00018876808462664485.
Trial 5 finished with value: 0.00018158405146095902 and parameters: {'lr': 0.029644434056652087, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 24, 'af_g_net': 'relu', 'drop_p_g_net': 0.00013033263059350028, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 64, 'af_h_net': 'relu', 'drop_p_h_net': 0.01177389743002722}. Best is trial 1 with value: 0.00015596918819937855.
Trial 7 finished with value: 0.000688500760588795 and parameters: {'lr': 0.00121470354196917, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'softplus', 'drop_p_g_net': 0.015738717850418645, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0006039740821842744}. Best is trial 6 with value: 0.00010920261411229149.
Trial 10 finished with value: 7.884064689278603e-05 and parameters: {'lr': 0.0019715230765411903, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0006777640906005845, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 8, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0005333165998526345}. Best is trial 9 with value: 6.586806557606906e-05.
Trial 13 finished with value: 0.00023197740665636957 and parameters: {'lr': 0.0069422921561277775, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.3886013531607411, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 8, 'af_h_net': 'tanh', 'drop_p_h_net': 0.00015658395946932042}. Best is trial 14 with value: 6.533048144774511e-05.
Trial 17 finished with value: 6.191994179971516e-05 and parameters: {'lr': 0.003735750370034558, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.0003285639125803077, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0285336354014112}. Best is trial 17 with value: 6.191994179971516e-05.
Trial 19 finished with value: 8.494455687468871e-05 and parameters: {'lr': 0.004016029391125096, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.003976211188160526, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0022452614649852067}. Best is trial 16 with value: 5.037042865296826e-05.
Trial 23 finished with value: 0.00012684323883149773 and parameters: {'lr': 0.0033232348834487144, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'relu', 'drop_p_g_net': 0.0003728467687860688, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.4969452326573524}. Best is trial 16 with value: 5.037042865296826e-05.
Trial 26 finished with value: 0.00010958928032778203 and parameters: {'lr': 0.007067591104365813, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.00047872698793873354, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'tanh', 'drop_p_h_net': 0.03867796487170087}. Best is trial 24 with value: 5.0071368605131283e-05.
