,symbolic_function
0,-0.0377106741070747*sin(4.61488008499146*x0 + 6.20432043075562) - 0.00110361725091934
1,0.0377118736505508*cos(4.61448001861572*x0 - 4.79120016098022) - 0.00110204517841339
2,-0.0268440693616867*tanh(8.40007972717285*x0 - 0.147999852895737) - 0.00141682778485119
3,0.0110737886279821*Abs(8.34055995941162*x0 - 3.25439977645874) - 0.0373842604458332
4,0.0320388449677081*(0.968945409905244 - x0)**2 - 0.0325895398855209
