,symbolic_function
0,-0.251195102528594*(-x0 - 0.00577823872501177)**3 - 0.00722541008144617
1,0.045766718685627*tan(1.45583987236023*x0 - 9.42727947235107) - 0.00919274054467678
2,0.141375571489334 - 0.0665915608406067*log(9.80000019073486 - 9.93720054626465*x0)
3,0.02356769027281*exp(2.25287985801697*x0) - 0.0344509184360504
4,5.05561208724976*tanh(1.14375984668732*x0 - 3.03871989250183) + 5.02158641815186
