,symbolic_function
0,-0.0037720989442015*exp(3.93635988235474*x0) - 0.20754212141037
1,0.0728409513831139*log(2.88499999046326 - 2.78743982315063*x0) - 0.264093369245529
2,-0.265324496784919*x0 - 0.0945371972693074
3,-0.355259665192722*(0.306281443724313 - x0)**2 - 0.213359594345093
4,-11.4878196716309*cos(0.24911992251873*x0 - 3.21799993515015) - 11.7011632919312
