,symbolic_function
0,0.459168351446913*(-x0 - 0.448635692440973)**2 - 0.0568741634488106
1,2.54133939743042 - 2.59689331054688*sin(0.605679869651794*x0 - 4.44668006896973)
2,1.91070234775543*cos(0.711079895496368*x0 - 2.83239984512329) + 1.85568392276764
3,0.339971929788589*tanh(1.95651996135712*x0 - 0.720679938793182) + 0.245175361633301
4,0.181807568409716*exp(2.19023990631104*x0) - 0.146486058831215
