2025-07-08 05:38:22,449 - INFO - A new study created in Journal with name: model-biochemical-mpnn-biochemical_mpnn_ic1_s5_pd_mult_noise_20db_2
2025-07-08 06:33:35,671 - INFO - Trial 12 finished with value: 93.04306030273438 and parameters: {'lr': 0.017313141603997703, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'tanh', 'drop_p_g_net': 0.00013311689559882708, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.027828224932197054}. Best is trial 11 with value: 93.04096221923828.
2025-07-08 06:39:57,357 - INFO - Trial 13 finished with value: 93.03968811035156 and parameters: {'lr': 0.04985341137518216, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.00011778847733439695, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'tanh', 'drop_p_h_net': 0.48332244907036037}. Best is trial 13 with value: 93.03968811035156.
2025-07-08 06:43:27,575 - INFO - Trial 14 finished with value: 93.04463195800781 and parameters: {'lr': 0.01456143662271794, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0005548570903186639, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.3502135522507797}. Best is trial 13 with value: 93.03968811035156.
2025-07-08 06:55:11,252 - INFO - Trial 15 finished with value: 93.04227447509766 and parameters: {'lr': 0.011215899062802378, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0016320080828378088, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'softplus', 'drop_p_h_net': 0.07714844818127882}. Best is trial 13 with value: 93.03968811035156.
2025-07-08 07:03:52,168 - INFO - Trial 16 finished with value: 93.04450988769531 and parameters: {'lr': 0.048917284700411706, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0001223625774488578, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.31121236560469423}. Best is trial 13 with value: 93.03968811035156.
2025-07-08 07:10:43,350 - INFO - Trial 17 finished with value: 93.04130554199219 and parameters: {'lr': 0.030437054970906537, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0020865907816363747, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 8, 'af_h_net': 'tanh', 'drop_p_h_net': 0.022571075235079566}. Best is trial 13 with value: 93.03968811035156.
2025-07-08 07:12:52,963 - INFO - Trial 18 finished with value: 93.04444885253906 and parameters: {'lr': 0.008671250358417912, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.00023208345816759003, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.002977487518052043}. Best is trial 13 with value: 93.03968811035156.
2025-07-08 07:18:38,940 - INFO - Trial 19 finished with value: 93.04399871826172 and parameters: {'lr': 0.02163884393685489, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0002761910338392352, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00010055536209946451}. Best is trial 13 with value: 93.03968811035156.
2025-07-08 07:27:39,973 - INFO - Trial 20 finished with value: 93.04456329345703 and parameters: {'lr': 0.023115559991606187, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0020648542842409004, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.13999613755353993}. Best is trial 13 with value: 93.03968811035156.
2025-07-08 07:35:03,850 - INFO - Trial 21 finished with value: 93.03964233398438 and parameters: {'lr': 0.03127730143997504, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0024522551965075003, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 8, 'af_h_net': 'tanh', 'drop_p_h_net': 0.029595264078046146}. Best is trial 21 with value: 93.03964233398438.
