,symbolic_function
0,-6.16748684478807e-6*tan(0.991999924182892*x0 - 0.610239923000336) - 2.03731578949373e-5
1,-1.69612012541620e-5
2,-7.43759932311447e-5*x0 - 1.19363350312221e-5
3,8.21901703602634e-5*cos(2.63572001457214*x0 + 0.201879918575287) - 8.46609327709302e-5
4,-8.21975190774538e-5*sin(2.63551998138428*x0 + 4.91427993774414) - 8.46681068651378e-5
