,symbolic_function
0,-0.0636647641658783*tan(2.00847983360291*x0 + 6.20024013519287) - 0.000959373079240322
1,-0.0921056866645813*tanh(10.0*x0 - 2.39999985694885) - 0.0855271816253662
2,0.126942321658134 - 0.017335906624794*Abs(9.86303997039795*x0 + 7.02328014373779)
3,0.162830427289009*sin(1.00255978107452*x0 - 9.40335941314697) + 0.00849761161953211
4,0.162491723895073*cos(1.00479984283447*x0 + 1.59239983558655) + 0.00852072890847921
