,symbolic_function
0,0.000187744240975007*tanh(10.0*x0 - 1.59999990463257) - 4.29305218858644e-5
1,-0.000223138034925796*sin(4.94111967086792*x0 + 2.20015978813171) - 3.77384276362136e-5
2,0.000223143899347633*cos(4.94055986404419*x0 - 8.79551982879639) - 3.77176038455218e-5
3,6.85475097270682e-5*Abs(9.99991989135742*x0 + 0.99999988079071) - 0.000277551327599213
4,0.00055098273587135*(-x0 - 0.248535819937889)**2 - 0.000219783192733303
