,symbolic_function,complexity,log_loss,alpha,score
0,-0.0348716655732207*x0 - 0.00799075387328485,3,-12.228155127836086,tensor(1.0000e-05),0.8209130046752028
1,-0.0103466954696641,0,-9.765416113810478,tensor(0.0003),0.0
