,symbolic_function
0,0.00144023284445058*(-0.653990585376717*x0 - 1)**2 - 0.00148797535803169
1,-0.00239546083040837*(-0.269853718463536*x0 - 1)**3 - 0.00245270039886236
2,0.00433534370420779*exp(0.457999914884567*x0) - 0.00440098717808723
3,0.00286909681744874*tan(0.0720000192523003*x0 - 1.89999997615814) - 0.00845154281705618
4,0.00255944556556642 - 0.00286367535591125*sin(1.04107987880707*x0 - 4.22208023071289)
