,symbolic_function
0,0.198769748210907 - 0.429617822170258*sin(0.537719905376434*x0 + 2.21939992904663)
1,0.440570592880249*cos(0.527879953384399*x0 - 2.49731993675232) + 0.208660081028938
2,0.459559798240662*tanh(0.487239927053452*x0 - 0.699479937553406) + 0.133745774626732
3,0.167126272954774*(-0.447545161297819*x0 - 1)**2 - 0.312478393316269
4,-0.257982820355693*(-0.196060898566344*x0 - 1)**3 - 0.403681725263596
