,symbolic_function
0,0.00156037509441376 - 0.00153715073802952*(-0.749516931647249*x0 - 1)**2
1,0.00264054946267715*(-0.301665099932968*x0 - 1)**3 + 0.00267847394570708
2,0.00499699544161558 - 0.00494352208469102*exp(0.498999923467636*x0)
3,0.010402599349618 - 0.00353541458025575*tan(0.0740000158548355*x0 - 1.90002000331879)
4,-0.00386053044348955*sin(1.00747990608215*x0 - 1.10967993736267) - 0.00353219802491367
