,symbolic_function,complexity,log_loss,alpha
0,0.00200000000000000,0,-2.2290296978456077,tensor(0.1000)
1,0.501*sin(1.039*x0 - 1.233),4,-14.429703634962364,tensor(1.0000e-05)
2,0.501*sin(1.039*x0 - 1.233),4,-14.429703634962364,tensor(1.0000e-04)
3,0.501*sin(1.039*x0 - 1.233),4,-14.429703634962364,tensor(0.0010)
4,0.501*sin(1.039*x0 - 1.233),4,-14.429703634962364,tensor(0.0100)
