2025-05-25 12:28:17,332 - INFO - A new study created in Journal with name: model-neuronal-mpnn-neuronal_mpnn_ic20_s5_pd_seed
2025-05-25 14:31:52,211 - INFO - Trial 12 finished with value: 0.002273119753226638 and parameters: {'lr': 0.0043561828236397164, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0036660436382357792, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0003638472169369275}. Best is trial 11 with value: 0.0018160740146413445.
2025-05-25 14:40:16,408 - INFO - Trial 13 finished with value: 0.0025802901946008205 and parameters: {'lr': 0.0005061769864089686, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0154615388544911, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0003007771573234381}. Best is trial 11 with value: 0.0018160740146413445.
2025-05-25 14:51:58,706 - INFO - Trial 14 finished with value: 0.002353292191401124 and parameters: {'lr': 0.0006039369668914363, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0010213988114780382, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.003591028817940292}. Best is trial 11 with value: 0.0018160740146413445.
2025-05-25 15:03:16,963 - INFO - Trial 15 finished with value: 0.003446818795055151 and parameters: {'lr': 0.004989162169027982, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'tanh', 'drop_p_g_net': 0.051062746694272465, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.0004240848905344362}. Best is trial 11 with value: 0.0018160740146413445.
2025-05-25 15:12:59,305 - INFO - Trial 16 finished with value: 0.003781590610742569 and parameters: {'lr': 0.0020814767479345126, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 24, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00657461579279235, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.02093182613744838}. Best is trial 11 with value: 0.0018160740146413445.
2025-05-25 15:26:28,632 - INFO - Trial 17 finished with value: 0.0012474650284275413 and parameters: {'lr': 0.0008065954808615093, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 16, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0008966824393345596, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00013792357238354486}. Best is trial 17 with value: 0.0012474650284275413.
2025-05-25 15:38:11,219 - INFO - Trial 18 finished with value: 0.001612361054867506 and parameters: {'lr': 0.0008682922073633508, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.000478588690759117, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00014466937235701918}. Best is trial 17 with value: 0.0012474650284275413.
2025-05-25 15:51:40,980 - INFO - Trial 19 finished with value: 0.000951687921769917 and parameters: {'lr': 0.001121393476052719, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0004664770059442652, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.002578001839890245}. Best is trial 19 with value: 0.000951687921769917.
2025-05-25 16:05:05,509 - INFO - Trial 20 finished with value: 0.001975026447325945 and parameters: {'lr': 0.0014695160616872325, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00039904119685892363, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 64, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0022254854049604143}. Best is trial 19 with value: 0.000951687921769917.
2025-05-25 16:18:30,756 - INFO - Trial 21 finished with value: 0.005668021738529205 and parameters: {'lr': 0.000998309004483436, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0004751854046126632, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0721888437968948}. Best is trial 19 with value: 0.000951687921769917.
2025-05-25 16:31:57,118 - INFO - Trial 22 finished with value: 0.0011231980752199888 and parameters: {'lr': 0.00080431211262735, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0005354944973549937, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00024936852550153554}. Best is trial 19 with value: 0.000951687921769917.
2025-05-25 16:45:28,005 - INFO - Trial 23 finished with value: 0.0010546068660914898 and parameters: {'lr': 0.0007129228552585289, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0007829478799724163, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0007190317516672835}. Best is trial 19 with value: 0.000951687921769917.
2025-05-25 16:55:45,099 - INFO - Trial 24 finished with value: 0.0017319372855126858 and parameters: {'lr': 0.0015109704937489418, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0002960266296799778, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0009435494880292874}. Best is trial 19 with value: 0.000951687921769917.
2025-05-25 17:09:15,490 - INFO - Trial 25 finished with value: 0.0008435652125626802 and parameters: {'lr': 0.0006868846459955481, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0015271498281735432, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.002939809358556153}. Best is trial 25 with value: 0.0008435652125626802.
2025-05-25 17:22:41,730 - INFO - Trial 26 finished with value: 0.0015521419700235128 and parameters: {'lr': 0.001187362237523942, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.0017229334017966557, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.010100704570997326}. Best is trial 25 with value: 0.0008435652125626802.
2025-05-25 17:35:46,027 - INFO - Trial 27 finished with value: 0.001431684591807425 and parameters: {'lr': 0.0006674239709387758, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'tanh', 'drop_p_g_net': 0.005696009362026964, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0031160789537237814}. Best is trial 25 with value: 0.0008435652125626802.
2025-05-25 17:48:37,576 - INFO - Trial 28 finished with value: 0.0013006562367081642 and parameters: {'lr': 0.003812935058217357, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0008966452410038167, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.007081057702009644}. Best is trial 25 with value: 0.0008435652125626802.
2025-05-25 17:59:48,333 - INFO - Trial 29 finished with value: 0.007793037686496973 and parameters: {'lr': 0.0018516794169954303, 'lamb': 0.0, 'batch_size': 16, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'tanh', 'drop_p_g_net': 0.4936388099679684, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 56, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0006398875912798684}. Best is trial 25 with value: 0.0008435652125626802.
