,symbolic_function
0,0.962574156245012*x0 - 2.12314187257503
1,1023.74890136719*sin(0.00100007373839617*x0 - 0.35151994228363) + 350.38134765625
2,569.019958496094*cos(0.00180007319431752*x0 + 4.35655975341797) + 196.108581542969
3,3008.94946289063 - 3011.07411683239*exp(-0.000320074264891446*x0)
4,0.192989349365234*Abs(4.98772001266479*x0 - 0.297079920768738) - 2.06582260131836
