,symbolic_function
0,0.500540137290955*sin(1.03855991363525*x0 - 1.23275995254517) + 0.000189107493497431
1,0.500538349151611*cos(1.03867995738983*x0 + 3.47984004020691) + 0.000189932878129184
2,0.00199921731837094
3,0.0181392466967587*x0 + 0.035063853372681
4,0.0342126461466028*exp(0.660479962825775*x0) - 0.0361563712358475
