,symbolic_function
0,-0.0744335800409317*tanh(1.75283992290497*x0 - 1.42391991615295) - 0.0706726312637329
1,0.02322324391336*(-x0 - 0.64837825362985)**3 + 0.00200965907424688
2,0.00985993724316359 - 0.0144347091779623*exp(2.12504005432129*x0)
3,0.00293280277401209 - 0.0478856767387783*(-x0 - 0.381016491411979)**2
4,1.47847783565521*sin(0.255519926548004*x0 - 4.61531972885132) - 1.47553062438965
