,symbolic_function
0,0.00682525616139174*sin(3.73844003677368*x0 + 3.41795992851257) + 0.0104351043701172
1,0.0104739805683494 - 0.0068449298851192*cos(3.72399997711182*x0 + 4.99499988555908)
2,0.00358971464447677*Abs(5.0*x0 - 1.69999992847443) + 0.00240980228409171
3,0.0107013648375869 - 0.00589477270841599*tanh(5.0*x0 + 0.399999916553497)
4,0.0148131037320888*(0.436233285733399 - x0)**2 + 0.00532120326533914
