,complexity,loss,score,sympy_format
3,7,3.6788508e-06,0.43412733625823013,2.0031254 - 0.0063919504*sin(x0)**2
2,6,5.6787308e-06,0.4086850289192384,sin(x0)*0.0025251913 - 1*(-2.000283)
1,5,8.545568e-06,0.004946372947679411,x0*0.00022492115 - 1*(-1.9990442)
0,1,8.71633e-06,0.0,1.99999960000000
