,symbolic_function,complexity,log_loss,alpha,score
0,0.676174988952557 - 0.677267514473681*exp(0.811330326548094*x0),4,-11.17559995303422,tensor(1.0000e-05),2.3918675775248808
1,-0.591392729459478*x0 - 0.00490351764512143,3,-8.78373237550934,tensor(0.0003),1.26642003566353
2,-0.0170854818914887,0,-4.98447226851875,tensor(0.0100),0.0
