,symbolic_function
0,0.235763260222928*x0 - 0.0155140206973439
1,0.630835115909576*log(1.91883993148804*x0 + 3.84364008903503) - 0.887453317642212
2,0.776762008666992 - 0.81295445683807*exp(-0.373759925365448*x0)
3,0.467346489429474 - 0.5018067462634*(1 - 0.294144935439201*x0)**2
4,-3.18280696868896*cos(0.174279928207397*x0 + 2.58308005332947) - 2.73343825340271
