,symbolic_function
0,-0.182259544730186*cos(3.51571989059448*x0 - 3.603679895401) - 0.0669715255498886
1,-0.182243824005127*sin(3.51496005058289*x0 - 2.03295993804932) - 0.0670557543635368
2,-0.213239073753357*tanh(3.12152004241943*x0 - 1.82488000392914) - 0.0700138658285141
3,0.209479002489365 - 0.492328032135152*x0
4,0.772958588785676*(1 - 0.467842463607236*x0)**2 - 0.490216434001923
