2025-08-04 19:24:29,394 - INFO - A new study created in Journal with name: model-epidemics-gkan-epidemics_gkan_repr_2
2025-08-04 22:25:40,407 - INFO - Trial 11 finished with value: 0.00020532029157038778 and parameters: {'lr': 0.0005712188484759937, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 0.003475827375501998, 'lamb_h_net': 0.0051770302106397565, 'grid_size_g_net': 15, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.9, 'mu_2_g_net': 0.1, 'hidden_dim_g_net': 6, 'grid_size_h_net': 5, 'spline_order_h_net': 2, 'range_limit_h_net': 6, 'mu_1_h_net': 0.5, 'mu_2_h_net': 0.7000000000000001, 'hidden_dim_h_net': 6}. Best is trial 11 with value: 0.00020532029157038778.
2025-08-04 23:00:25,179 - INFO - Trial 12 finished with value: 0.00033044134033843875 and parameters: {'lr': 0.004040125580786615, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 0.004502405894228746, 'lamb_h_net': 0.012683559990160312, 'grid_size_g_net': 17, 'spline_order_g_net': 2, 'range_limit_g_net': 6, 'mu_1_g_net': 1.0, 'mu_2_g_net': 0.2, 'hidden_dim_g_net': 6, 'grid_size_h_net': 6, 'spline_order_h_net': 2, 'range_limit_h_net': 6, 'mu_1_h_net': 0.5, 'mu_2_h_net': 0.7000000000000001, 'hidden_dim_h_net': 6}. Best is trial 11 with value: 0.00020532029157038778.
2025-08-04 23:36:33,473 - INFO - Trial 13 finished with value: 0.009825726971030235 and parameters: {'lr': 0.0005259547514066917, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 2.400105304012551e-05, 'lamb_h_net': 0.752581521439829, 'grid_size_g_net': 15, 'spline_order_g_net': 2, 'range_limit_g_net': 4, 'mu_1_g_net': 0.8, 'mu_2_g_net': 0.30000000000000004, 'hidden_dim_g_net': 6, 'grid_size_h_net': 20, 'spline_order_h_net': 2, 'range_limit_h_net': 3, 'mu_1_h_net': 0.6, 'mu_2_h_net': 0.7000000000000001, 'hidden_dim_h_net': 5}. Best is trial 11 with value: 0.00020532029157038778.
2025-08-05 00:05:53,584 - INFO - Trial 14 finished with value: 0.00046188459964469075 and parameters: {'lr': 0.0013920752692733538, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 0.012274087471902118, 'lamb_h_net': 0.005739492349302054, 'grid_size_g_net': 20, 'spline_order_g_net': 3, 'range_limit_g_net': 7, 'mu_1_g_net': 0.9, 'mu_2_g_net': 0.1, 'hidden_dim_g_net': 5, 'grid_size_h_net': 18, 'spline_order_h_net': 1, 'range_limit_h_net': 5, 'mu_1_h_net': 0.1, 'mu_2_h_net': 0.2, 'hidden_dim_h_net': 6}. Best is trial 11 with value: 0.00020532029157038778.
2025-08-05 00:20:09,017 - INFO - Trial 15 finished with value: 0.0009934153640642762 and parameters: {'lr': 0.013032638299978581, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 0.00046220932409403936, 'lamb_h_net': 1.351945323142714e-06, 'grid_size_g_net': 8, 'spline_order_g_net': 2, 'range_limit_g_net': 7, 'mu_1_g_net': 0.8, 'mu_2_g_net': 0.30000000000000004, 'hidden_dim_g_net': 5, 'grid_size_h_net': 5, 'spline_order_h_net': 2, 'range_limit_h_net': 8, 'mu_1_h_net': 0.5, 'mu_2_h_net': 0.6, 'hidden_dim_h_net': 4}. Best is trial 11 with value: 0.00020532029157038778.
2025-08-05 00:23:06,707 - INFO - Trial 16 finished with value: 0.010833946987986565 and parameters: {'lr': 0.002923909343062913, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.9184525204476178, 'lamb_h_net': 0.006013473283689716, 'grid_size_g_net': 14, 'spline_order_g_net': 2, 'range_limit_g_net': 5, 'mu_1_g_net': 0.9, 'mu_2_g_net': 0.8, 'hidden_dim_g_net': 6, 'grid_size_h_net': 12, 'spline_order_h_net': 1, 'range_limit_h_net': 2, 'mu_1_h_net': 0.30000000000000004, 'mu_2_h_net': 0.4, 'hidden_dim_h_net': 5}. Best is trial 11 with value: 0.00020532029157038778.
2025-08-05 00:43:10,946 - INFO - Trial 17 finished with value: 0.00016519018390681595 and parameters: {'lr': 0.0009725874275237303, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 0.0009337158265523675, 'lamb_h_net': 0.0004670523323572435, 'grid_size_g_net': 18, 'spline_order_g_net': 3, 'range_limit_g_net': 6, 'mu_1_g_net': 0.8, 'mu_2_g_net': 0.2, 'hidden_dim_g_net': 3, 'grid_size_h_net': 17, 'spline_order_h_net': 2, 'range_limit_h_net': 6, 'mu_1_h_net': 0.4, 'mu_2_h_net': 0.6, 'hidden_dim_h_net': 3}. Best is trial 17 with value: 0.00016519018390681595.
2025-08-05 01:10:29,524 - INFO - Trial 18 finished with value: 0.00019492331193760037 and parameters: {'lr': 0.0008319986453397092, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 0.0015848705225374792, 'lamb_h_net': 0.0002975202786342239, 'grid_size_g_net': 17, 'spline_order_g_net': 1, 'range_limit_g_net': 4, 'mu_1_g_net': 0.6, 'mu_2_g_net': 0.4, 'hidden_dim_g_net': 3, 'grid_size_h_net': 8, 'spline_order_h_net': 2, 'range_limit_h_net': 6, 'mu_1_h_net': 0.6, 'mu_2_h_net': 0.7000000000000001, 'hidden_dim_h_net': 2}. Best is trial 17 with value: 0.00016519018390681595.
2025-08-05 01:37:31,257 - INFO - Trial 19 finished with value: 0.00020083719573449343 and parameters: {'lr': 0.001163872696518883, 'lamb': 1.0, 'batch_size': 16, 'use_orig_reg': True, 'lamb_g_net': 0.00021139912552319823, 'lamb_h_net': 0.0004097600141701471, 'grid_size_g_net': 18, 'spline_order_g_net': 1, 'range_limit_g_net': 4, 'mu_1_g_net': 0.6, 'mu_2_g_net': 0.5, 'hidden_dim_g_net': 3, 'grid_size_h_net': 8, 'spline_order_h_net': 2, 'range_limit_h_net': 8, 'mu_1_h_net': 0.7000000000000001, 'mu_2_h_net': 0.6, 'hidden_dim_h_net': 1}. Best is trial 17 with value: 0.00016519018390681595.
2025-08-05 01:46:17,571 - INFO - Trial 20 finished with value: 0.00037517602322623134 and parameters: {'lr': 0.0009231155737477101, 'lamb': 1.0, 'batch_size': 64, 'use_orig_reg': True, 'lamb_g_net': 0.0008430550278517582, 'lamb_h_net': 0.00024791998503300756, 'grid_size_g_net': 17, 'spline_order_g_net': 1, 'range_limit_g_net': 3, 'mu_1_g_net': 0.5, 'mu_2_g_net': 0.7000000000000001, 'hidden_dim_g_net': 3, 'grid_size_h_net': 11, 'spline_order_h_net': 2, 'range_limit_h_net': 5, 'mu_1_h_net': 0.6, 'mu_2_h_net': 0.8, 'hidden_dim_h_net': 2}. Best is trial 17 with value: 0.00016519018390681595.
